network,x_name,x_value,method,repeat,score,initial_state_mode,dataset_kind
BitcoinOTC,time_steps,20,CI,0,2674.638671875,random,real
BitcoinOTC,time_steps,30,T-DQN,0,3073.749755859375,random,real
BitcoinOTC,time_steps,30,MaxDegree,0,3019.97705078125,random,real
BitcoinOTC,time_steps,30,Blocking,0,3031.24462890625,random,real
BitcoinOTC,time_steps,30,MixStrategy,0,3042.1240234375,random,real
BitcoinOTC,time_steps,30,CbC,0,3034.9580078125,random,real
BitcoinOTC,time_steps,30,CI,0,3020.1845703125,random,real
BitcoinOTC,time_steps,40,T-DQN,0,3236.5849609375,random,real
BitcoinOTC,time_steps,40,MaxDegree,0,3209.4541015625,random,real
BitcoinOTC,time_steps,40,Blocking,0,3218.44189453125,random,real
BitcoinOTC,time_steps,40,MixStrategy,0,3231.15673828125,random,real
BitcoinOTC,time_steps,40,CbC,0,3223.369140625,random,real
BitcoinOTC,time_steps,40,CI,0,3207.92578125,random,real
